DISTRICT,CITIES,REP OFFICE CITY,R REPRESENTATIVE,OPPONENT,R VOTE %,OPPONENT VOTE %,THIRD PARTY,FLIPPED,NOTE
CO 8,Denver,"Greeley, Northglenn",Gabe Evans,Yadira Caraveo,0.49,0.48,FALSE,TRUE,
MI 7,Lansing,Lansing,Tom Barrett,Curtis Hurtell,0.5,0.47,TRUE,TRUE,
AZ 6,Tucson,"Sierra Vista, Tucson",Juan Ciscomani,Kirsten Engel,0.5,0.49,TRUE,FALSE,
IA 1,Davenport / Iowa City,"Davenport, Indianola",Mariannette Miller-Meeks,Christina Bohannan,0.5,0.47,FALSE,FALSE,
AK 1,"Fairbanks, Anchorage","Fairbanks, Anchorage",Nick Begich,Mary Peltola,0.51,0.49,FALSE,TRUE,
MI 10,"Warren, Shelby Charter Township",Warren,John James,Carl Marlinga,0.51,0.45,TRUE,FALSE,
NE 2,"Omaha, Wahoo","Omaha, Wahoo",Don Bacon,Tony Vargas,0.51,0.49,FALSE,FALSE,
PA 10,", Harrisburg, York",", Harrisburg, York",Scott Perry,Janelle Stelson,0.51,0.49,FALSE,FALSE,
VA 2,Virginia Beach,"Virginia Beach, Onley, Suffolk",Jen Kiggans,Missy Cotter Smasal,0.51,0.47,TRUE,FALSE,
WI 3,"Eau Claire, Stevens Point, La Crosse","Eau Claire, La Crosse",Derrick Van Ordern,Rebecca Cooke,0.51,0.49,FALSE,FALSE,
CO 3,Grand Junction,"Grand Junction, Pueblo, Durango",Jeff Hurd,Adam Frisch,0.51,0.46,TRUE,FALSE,
OH 7,Wooster,"Parma, Medina",Max Miller,Matthew Diemer,0.51,0.36,TRUE,FALSE,
AZ 1,"Scottsdale, Fountain Hills",Scottsdale,David Schweikert,Amish Shah,0.52,0.49,FALSE,FALSE,
CA 41,Palm Springs,"Palm Desert, Corona",Ken Calvert,Will Rollins,0.52,0.47,FALSE,FALSE,
IA 3,Des Moines,"Des Moines, Ottumwa, Creston",Zach Nunn,Lanon Baccham,0.52,0.49,FALSE,FALSE,
MT 1,"Missoula, Great Falls, Butte, Helena","Bozeman, Missoula, Kalispell",Ryan Zinke,Monica Tranel,0.52,0.45,TRUE,FALSE,
